Institution,Generel trivsel,Faglig trivsel,Ro og orden,Social trivsel,Støtte og inspiration,Karaktergennemsnit 2013-2020,Antal karakterer 2013-2020
Kaptajn Johnsens Skole,,,,,,8.9639563863,321.0
Karensmindeskolen,3.6886193678,3.8677370253,3.807724597,3.8677370253,3.3694670327,8.1332409382,469.0
Karlskov Friskole,,,,,,6.9978030303,132.0
Karlslunde Skole,3.5046405248,3.6197029208,3.749999995,3.6197029208,3.2393324653,7.0353684211,285.0
Karup Skole,3.7738137826,3.740104413,3.8399758406,3.740104413,3.3316938841,6.4980263158,152.0
Kassebølle Friskole,,,,,,7.6018181818,66.0
Kastrupgårdsskolen,3.4486819396,3.5818410577,3.7228070079,3.5818410577,3.1530196658,7.2357843137,306.0
Katrinebjergskolen,3.6307896877,3.6886108794,3.8175438596,3.6886108794,3.2132159544,7.0546052632,304.0
Katrinedals Skole,3.5708195549,3.7053192531,3.7001380248,3.7053192531,3.0620325176,8.1052225519,674.0
Kattegatskolen,,,,,,7.1073015873,63.0
Kegnæs Friskole,,,,,,8.2329347826,92.0
Kerteminde Byskole,3.6334569783,3.6232714585,3.8020457256,3.6232714585,3.1524750686,7.6306329114,316.0
Kerteminde Efterskole,,,,,,6.7644758065,248.0
Kerteminde Skole,,,,,,7.4808474576,59.0
Kertemindeegnens Friskole,,,,,,6.6536363636,264.0
Kibæk Skole,3.7072817225,3.7042955625,3.7874800574,3.7042955625,3.3375911683,7.3109359606,203.0
"Kildebjergskolen, område Skovvejen",3.582123649,3.6717595962,3.8337320526,3.6717595962,3.1656932644,7.0933210332,271.0
Kildegård Privatskole,,,,,,8.648706721,982.0
Kildegårdskolen,3.4737072313,3.5917034824,3.6782560618,3.5917034824,3.1317052257,6.5998684211,532.0
KILDEN- Børne- og Ungeunivers,3.6256131701,3.6803851909,3.841632083,3.6803851909,3.3377773375,7.3494915254,59.0
Kildeskolen,3.8587649189,3.6726719189,3.9459459459,3.6726719189,3.6944440556,7.5641891892,74.0
Kildevældsskolen,3.5004426563,3.6893474567,3.7211413735,3.6893474567,3.2416055725,6.8070260223,269.0
Kingoskolen,,,,,,7.0472064777,247.0
Kirke Hyllinge Skole,3.4339074301,3.5436165754,3.5101981329,3.5436165754,3.0000163088,7.0578881988,322.0
Kirke Saaby Skole,3.5475865389,3.6210970611,3.6370370333,3.6210970611,3.0148144278,7.1395783133,166.0
Kirkebakkeskolen,3.6341770455,3.7722430881,3.8413897281,3.7722430881,3.0972145848,7.8216893204,515.0
Kirkebjerg Skole,3.5887427372,3.7356481584,3.7351129343,3.7356481584,3.1434678789,7.7055531915,470.0
Kirke-Helsinge Skole,3.3980698267,3.33338532,3.5867117027,3.33338532,3.0295362838,5.8924793388,121.0
Kirkeskolen,3.6642258512,3.7372608576,3.906862737,3.7372608576,3.2374769308,6.9296078431,306.0
Kirsebærhavens Skole,3.4087497018,3.4905835909,3.4510233684,3.4905835909,3.1459330265,6.586076555,209.0
Kirstine Seligmanns Skole,,,,,,8.8593542074,511.0
"Kirstinebjergskolen, Havepladsvej",3.5811785884,3.6257393151,3.728027865,3.6257393151,3.1104267749,6.6556160164,974.0
"Kirstinebjergskolen, Høgevej",3.4080293067,3.5215453148,3.5467479451,3.5215453148,3.1211915466,6.6696875,32.0
"Kirstinebjergskolen, Indre Ringvej",3.471301399,3.4814405121,3.7101449227,3.4814405121,3.1609381787,6.6923076923,26.0
Kirstinedalsskolen,3.5985787934,3.719711583,3.6265432037,3.719711583,3.1095762778,6.7483969466,393.0
Klank Efterskole,,,,,,6.5193103448,232.0
Klarup Skole,3.650566802,3.7073952714,3.6712614837,3.7073952714,3.1552866291,7.7130730479,397.0
Klejtrup Musikefterskole,,,,,,8.142254902,204.0
"Klippen, Den Kristne Friskole",,,,,,7.9403053435,131.0
Klokkerholm Skole,3.8121718904,3.7083676599,3.8601598151,3.7083676599,3.4099831586,7.3619230769,234.0
Klostermarksskolen,3.6116258596,3.8401538851,3.7466475086,3.8401538851,3.234325,8.5144705882,850.0
Klovborg Friskole,,,,,,7.4516666667,6.0
Kløvermarkskolen,3.5776538292,3.7614336173,3.8038971766,3.7614336173,3.0658943815,7.1573684211,152.0
"Kobberbakkeskolen, afd. Sct. Jørgen",3.5163477647,3.6512757463,3.8725490147,3.6512757463,3.2358714228,6.9110714286,224.0
"Kobberbakkeskolen, afd. Sjølund",3.4501012053,3.5656760951,3.7363751483,3.5656760951,3.1804884924,6.689595525,1162.0
Kokkedal Skole,3.547322093,3.7667664056,3.8593896704,3.7667664056,3.3916629099,7.4102457002,407.0
Kolding Friskole,,,,,,8.6565986395,147.0
Kolding Realskole,,,,,,8.4229983923,1244.0
Koldingegnens Idrætsefterskole,,,,,,7.9091351351,185.0
Kolind Centralskole,3.5737594529,3.6070369941,3.7343137235,3.6070369941,3.0566382824,6.5988768116,276.0
Kon Tiki - Børnenes Skole,,,,,,8.114125,160.0
Kongehøjskolen,3.5749709716,3.6477278596,3.6462882052,3.6477278596,3.1370557697,7.0007908612,569.0
Kongensgaard Efterskole,,,,,,5.1271186441,177.0
Kongenshus Efterskole,,,,,,4.6823255814,43.0
Kongerslev Skole,3.7174525324,3.675558777,3.6630695396,3.675558777,3.0507361727,7.0316551724,145.0
Kongeskærskolen,3.6534806977,3.5558802109,3.8260581984,3.5558802109,3.2219304297,7.1476865672,268.0
Kongevejens Skole,3.7703203529,3.9571069412,4.4117647059,3.9571069412,3.336134,8.5665598291,468.0
Kongeådalens Efterskole,,,,,,5.4477294686,207.0
Kongsbjergskolen,3.7983864762,3.832865432,3.9240614334,3.832865432,3.3872090683,7.5873224044,366.0
Korinth Efterskole,,,,,,6.0477483444,151.0
Kornmarkskolen,3.594645599,3.6428852422,3.7587032167,3.6428852422,3.1029960157,7.2915364583,384.0
Kornmod Realskole,,,,,,8.307425876,742.0
Korsager Skole,3.5289433236,3.766904845,3.7233626481,3.766904845,3.2493092544,6.3691029024,379.0
Korshøjskolen,3.5898996076,3.6489785,3.9205508475,3.6489785,3.281721966,6.4275527426,237.0
Korsvejens Skole,3.5180164274,3.5574060161,3.6391128952,3.5574060161,3.141416621,6.826630137,365.0
Korup Skole,3.5028239044,3.5790083875,3.8486519485,3.5790083875,3.1952202967,6.8647854785,303.0
Kostskolen i Sønderjylland,,,,,,7.1869455253,514.0
Kragelund Efterskole,,,,,,5.0725663717,113.0
Kragelundskolen,3.7400770808,3.9002927196,3.9183558514,3.9002927196,3.4489217095,8.3108715596,654.0
Kratbjergskolen afd. Engholm,3.5210480977,3.7263444832,3.8500428406,3.7263444832,3.140032814,8.2226434426,488.0
Kratbjergskolen afd. Ravnsholt,3.6686322117,3.8231667125,3.8832823609,3.8231667125,3.256193,8.2634615385,416.0
Kratholmskolen,,,,,,8.2785606061,132.0
Krebs' Skole,,,,,,9.3420209059,287.0
Kristrup Skole,3.5007510242,3.7369103347,3.7140456976,3.7369103347,3.2211017177,7.5873387097,124.0
Kroggårdsskolen,3.6380876762,3.7148981039,3.812823829,3.7148981039,3.2726309715,7.505962877,431.0
Krogårdskolen,3.492282852,3.7257673156,3.8354283045,3.7257673156,3.3256349747,7.1663063063,444.0
"Kulsbjerg Skole, Stensved",3.4402726523,3.5039589032,3.5728038484,3.5039589032,3.0120342436,6.4338606403,531.0
Kundby Friskole,,,,,,5.84,15.0
Kvaglundskolen Signatur,3.4832437803,3.6269314595,3.8280780721,3.6269314595,3.4276701577,6.6253125,224.0
Kvikmarkens Privatskole,,,,,,7.9014018692,321.0
Kværkeby Friskole,,,,,,7.0278125,32.0
Kystskolen,3.6610695562,3.6745644944,3.8249063652,3.6745644944,3.3128139213,6.4673703704,270.0
Københavns Idrætsefterskole,,,,,,6.4941237113,194.0
Københavns Kommunes Ungdomsskole 8. - 9. Klassen,,,,,,4.7387096774,62.0
"Københavns Kommunes Ungdomsskole, Dagkursus",,,,,,,0.0
Københavns Skole & Idrætsakademi,,,,,,8.2902631579,76.0
Købmagergades Skole,,,,,,6.533030303,33.0
Køge Bugt Privatskole,,,,,,8.3877419355,186.0
Køge Lille Skole,,,,,,8.1952702703,148.0
Køge Private Realskole,,,,,,8.4289579158,499.0
Køng Idrætsfriskole,,,,,,6.67875,88.0
Ladelund Efterskole,,,,,,5.8103087886,421.0
Lagoniskolen,,,,,,6.4821646341,656.0
Landsbyskolen,,,,,,7.824516129,93.0
Landsgrav Friskole,,,,,,7.6825609756,164.0
Langebjergskolen,3.6799025798,3.8360311907,3.8484528734,3.8360311907,3.3536564051,8.2286826347,334.0
Langelands Efterskole,,,,,,7.114516129,155.0
Langelinieskolen,3.5198873144,3.76076981,3.81245461,3.76076981,3.2154419147,7.7615533981,412.0
Langeskov Skole,3.7324698036,3.6904611929,3.7630486335,3.6904611929,3.2628992536,7.4613101604,374.0
Langhøjskolen,,,,,,7.1371656687,501.0
Langmarkskolen,3.6567946498,3.7362501458,3.9068462391,3.7362501458,3.2992941145,6.9520666667,450.0
Langsøskolen,3.5827921842,3.6532145132,3.7499999971,3.6532145132,3.183353871,6.849047619,420.0
Langtved Friskole,,,,,,7.1180952381,21.0
Langå Skole,3.5258936279,3.5514822078,3.6866925039,3.5514822078,2.9688711829,7.0826751592,314.0
Laursens Realskole,,,,,,8.3150984252,508.0
Lem Stationsskole,3.7075085074,3.7848228148,3.9407407407,3.7848228148,3.3101229704,7.2192783505,194.0
Lemtorpskolen,3.6526467192,3.7441053744,3.9088669901,3.7441053744,3.2383294089,7.5874122807,228.0
Lemvig Kristne Friskole,,,,,,6.8685714286,7.0
Lergravsparkens Skole,3.5599323634,3.6920917948,3.7910394237,3.6920917948,3.2365983715,6.9938585209,311.0
Lerpytter Friskole & Børnehave,,,,,,6.9041666667,24.0
Levring Efterskole,,,,,,6.3095495495,222.0
Lille Egede Friskole,,,,,,7.9745925926,135.0
"Lille Næstved Skole, afd. Fuglebjerg",3.4485618455,3.4937697414,3.5554363305,3.4937697414,2.9731112241,6.3345692884,267.0
"Lille Næstved Skole, afd. Herlufsholmvej",3.6634964719,3.7863476827,3.9033066112,3.7863476827,3.2223336076,7.6616260163,861.0
Lille Vildmose Naturefterskole,,,,,,5.0811111111,9.0
Lille Værløse Skole,3.6814740513,3.7606974835,3.9745710699,3.7606974835,3.3177516765,7.609266055,327.0
Lillebæltskolen,3.8830651333,3.8768673873,3.947089946,3.8768673873,3.3584082468,7.587,340.0
Lillerød Skole,,,,,,8.4575086505,289.0
Lilleskolen Odense,,,,,,8.0129931973,147.0
Lillevang Skole,3.6608741715,3.8024429788,3.9158622876,3.8024429788,3.3620931528,8.4536769759,291.0
Limfjordsskolen Struer,3.6193739906,3.7009463491,3.7439215647,3.7009463491,3.2610844976,6.790201005,199.0
Lind Skole,3.7335983741,3.7380213775,3.8170334132,3.7380213775,3.1801544474,7.5393944354,611.0
Lindbjergskolen,3.7816922131,3.7244557442,3.8296545067,3.7244557442,3.1342834626,7.7156060606,66.0
Lindebjergskolen,3.6473103182,3.7620712135,3.7799625393,3.7620712135,3.2251333539,7.9144166667,240.0
Lindegårdsskolen,3.4782689558,3.658699008,3.8152610442,3.658699008,3.1789388293,7.4284797297,296.0
Lindehøjskolen,3.3530493883,3.6585662893,3.6028183653,3.6585662893,3.0310017803,7.3709913043,575.0
Lindevangskolen,3.438192521,3.7230653806,3.7187758412,3.7230653806,3.021988047,7.5782758621,348.0
Lindved Skole,3.6502690777,3.5934576598,3.7149572615,3.5934576598,3.1292618653,6.7112449799,249.0
Lisbjergskolen,3.557956224,3.6176666209,3.6808608022,3.6176666209,3.0551016264,7.5368544601,213.0
Lomborg Gymnastik- og Idrætsefterskole,,,,,,6.6337569061,362.0
Ludwig-Andresen-Schule,,,,,,7.5791666667,108.0
Lukas-Skolen,,,,,,8.5839490446,314.0
Lundby Efterskole,,,,,,6.0961437908,153.0
Lundehusskolen,3.6236097607,3.6819513262,3.9469696883,3.6819513262,3.2364393948,6.1118009479,211.0
Lundergård undervisningssted,3.50826075,3.7308087653,3.7663273919,3.7308087653,3.3131677168,7.3470707071,396.0
Lunderskov Efterskole,,,,,,6.940867052,346.0
Lundgårdskolen,3.7278573532,3.7928717865,3.9088744519,3.7928717865,3.4126835662,7.4856155508,463.0
Lundskolen,3.607965145,3.6497219427,3.8164112375,3.6497219427,3.1563791031,7.1358122744,277.0
Lundtofte Skole,3.5598639035,3.8040216564,3.8768274781,3.8040216564,3.3314030088,7.8670731707,328.0
Lygten Skole,,,,,,6.336091954,87.0
Lykke Skolen,,,,,,5.9335643564,101.0
Lykkebo Skole,3.6110277273,3.5054338818,3.5676605459,3.5054338818,3.0354108136,6.8043192488,213.0
Lykkegårdskolen,,,,,,8.2652727273,110.0
Lykkesgårdskolen,3.733714014,3.7916086232,3.9447368386,3.7916086232,3.2891975509,7.7940460526,304.0
Lyngbjerggårdskolen,,,,,,7.6279020979,143.0
Lyngby Friskole,,,,,,7.3236363636,99.0
Lyngby Private Skole,,,,,,9.161978022,273.0
Lynge Skole,3.5798922976,3.7245724516,3.7647453056,3.7245724516,3.146184957,8.0830570902,543.0
Lynghedeskolen,3.6463351782,3.6716118193,3.7891260152,3.6716118193,3.1928928091,7.8655882353,34.0
"Lynghedeskolen, afdeling Søndre",,,,,,7.0574525745,369.0
Lyngholmskolen,3.6593947267,3.7814334907,3.8687888106,3.7814334907,3.4145514938,7.464811828,372.0
Lynghøj Efterskole,,,,,,5.8325,20.0
Lynghøjskolen,3.631266633,3.760979266,3.8602693569,3.760979266,3.1339421818,7.558057554,417.0
Lyngs Idrætsefterskole,,,,,,6.8520547945,219.0
Lyreskovskolen,3.4987734467,3.5970669221,3.8306010902,3.5970669221,3.0078157582,6.822912844,436.0
Lyshøjskolen,3.7524053294,3.834495,3.8854775789,3.834495,3.2761900819,8.3156852103,737.0
Lystrup Skole,3.5855876397,3.8023802225,3.8944734491,3.8023802225,3.2370193316,7.9844386423,383.0
Lystruphave Efterskole,,,,,,4.488125,144.0
Lærkeskolen,3.4299022141,3.647332103,3.7234118415,3.647332103,3.0283047656,7.4067123288,657.0
Læssøesgades Skole,3.5038786391,3.6879669524,3.7046351006,3.6879669524,3.2882920533,6.2613194444,144.0
Læsø Skole og Børnehus,3.4084958539,3.4041207727,3.4850187191,3.4041207727,2.9651948764,6.6568932039,103.0
Lødderup Friskole,,,,,,7.0230357143,168.0
Løgstrup Skole,3.7487219326,3.6289733258,3.9069548835,3.6289733258,3.1359205208,7.3800316456,316.0
Løgstør Skole,3.746256917,3.6882294689,3.8637955168,3.6882294689,3.3476593504,7.3268932039,309.0
Løgumkloster  Friskole,,,,,,7.6233333333,9.0
Løgumkloster Efterskole,,,,,,7.1127044025,159.0
Løjt Kirkeby Skole,3.5756395927,3.7252112364,3.7778787818,3.7252112364,3.1315840036,7.1914025974,385.0
Løjtegårdsskolen,3.5115462179,3.6501885229,3.5661314954,3.6501885229,3.1322789931,7.2803617021,470.0
Løkken undervisningssted,3.6285485969,3.6409183333,3.73828125,3.6409183333,3.1697912578,7.0375333333,150.0
Lørslev Friskole,,,,,,6.6495652174,23.0
Løsning Skole,3.5208508993,3.635705191,3.8155594371,3.635705191,3.2804108427,6.5310217391,460.0
Løvvangskolen,,,,,,6.5772826087,92.0
Låsby Skole,3.3758678247,3.450099268,3.459999996,3.450099268,3.0216368725,7.2012352941,170.0
Magleblik Skole,3.5318542866,3.6499991789,3.6871671885,3.6499991789,3.2516753535,6.8691020408,490.0
Magleby Fri- og Efterskole,,,,,,4.2173652695,167.0
Maglegårdsskolen,3.81216924,3.9336088424,3.920487106,3.9336088424,3.300013273,8.1051565762,479.0
Maglehøjskolen,3.4950050734,3.5925614683,3.5641025629,3.5925614683,3.0881199053,7.4961363636,352.0
Malling Skole,3.5054644652,3.7674406154,3.8060661765,3.7674406154,3.0931445201,7.8396209913,343.0
MammenFri,,,,,,7.7575,4.0
Marbækskolen,,,,,,6.6758252427,103.0
Margretheskolen,3.6200058333,3.7827610741,3.748456787,3.7827610741,3.2026561111,7.6166964286,224.0
Mariager  Høj- & Efterskole (Efterskolen),,,,,,7.5646197719,526.0
Mariager Skole,3.7225714103,3.6726639744,3.8108974231,3.6726639744,3.3032352179,7.4721755725,262.0
Mariagerfjord Idrætsskole,,,,,,5.3431428571,35.0
"Maribo Skole, Borgerskoleafdelingen",3.7413976561,3.4990198817,3.76817375,3.4990198817,3.040273117,6.0313320826,533.0
Marie Jørgensens Skole,,,,,,8.2851923077,312.0
Marie Kruses Skole,,,,,,8.8605889571,815.0
Marie Mørks Skole,,,,,,8.4048138298,376.0
Mariendal Friskole,,,,,,7.8354761905,84.0
Marienhoffskolen,3.7498659186,3.7191995023,3.8352187014,3.7191995023,3.3085645249,6.5192125984,254.0
Marienlystskolen,,,,,,6.6949034749,259.0
Marieskolen,,,,,,7.2580357143,56.0
Marievangsskolen,3.5328255263,3.7335958626,3.6855392147,3.7335958626,3.0588931176,6.7876342282,596.0
Markusskolen,,,,,,7.7232283465,127.0
Marstal Skole,3.7098416371,3.6323278101,3.7401547046,3.6323278101,3.1648906314,7.1571240106,379.0
Mejlby Efterskole,,,,,,4.307672956,159.0
Mejls-Orten-Tinghøj Friskole,,,,,,6.4417647059,17.0
Mejrup Skole,3.731076708,3.8586663805,3.9282238443,3.8586663805,3.2836523024,8.042517321,433.0
Melby Skole,3.5087800315,3.5810437244,3.8598039176,3.5810437244,3.1684754055,6.93765625,256.0
Mellerup Fri- og Efterskole,,,,,,7.3573184358,179.0
Mellervangskolen,3.5124691546,3.4824137282,3.7831715097,3.4824137282,3.2750225048,6.0405472637,201.0
Mentiqa-Nordjylland,,,,,,8.6698876404,89.0
Mentiqa-Odense - skolen for børn med særlige forudsætninger,,,,,,8.3590909091,11.0
Midtdjurs Friskole,,,,,,7.455,4.0
Midtjyllands Kristne Friskole,,,,,,7.7419373219,351.0
Midtjysk Efterskole,,,,,,7.2782130584,291.0
Midtsjællands Efterskole,,,,,,6.7240684411,263.0
"Midtskolen, Bavneskolen",3.4780429108,3.6387120802,3.7605633803,3.6387120802,3.189801967,6.7881192661,218.0
"Midtskolen, Møllevangsskolen",3.4659572995,3.531960516,3.4640957447,3.531960516,3.0706682872,6.8334634146,205.0
"Midtskolen, Sofiendalskolen",3.4034990275,3.4783831193,3.6594036651,3.4783831193,2.9880620963,6.5559444444,360.0
Mina Hindholm Efterskole,,,,,,5.4633333333,45.0
Molsskolen,3.662724462,3.6689111266,3.6756329114,3.6689111266,3.1387578987,7.7535424354,271.0
Morten Børup Skolen,3.5951694836,3.7036299754,3.8532235926,3.7036299754,3.1036663532,7.5493237705,488.0
Mosedeskolen,3.5378662128,3.7902974733,3.6873522376,3.7902974733,3.1853325694,7.477509434,530.0
Mou Skole,3.7833379406,3.6843697327,3.9232673267,3.6843697327,3.3735969505,6.9458940397,151.0
Muldbjerg undervisningssted,3.5698886522,3.655186828,3.6756298401,3.655186828,3.1798165549,6.9433823529,476.0
Munkebjergskolen,3.573204478,3.7122457568,3.914132875,3.7122457568,3.223696078,7.3888325991,454.0
Munkebo Skole - mellem nor og fjord,3.6118618739,3.5351349496,3.7918424726,3.5351349496,3.2530335612,6.5583606557,305.0
Munkegårdsskolen,3.5748347953,3.7242055045,3.6335311543,3.7242055045,3.1159809288,8.3811400651,307.0
Munkekærskolen,3.5376482208,3.8036393745,3.8684305205,3.8036393745,3.351287974,7.759933665,603.0
Munkevængets Skole,3.6261076157,3.9183339834,3.8536501281,3.9183339834,3.5242696132,6.5065695793,309.0
Munkholmskolen,3.7675483484,3.6923115455,3.9739818914,3.6923115455,3.4142960955,7.6841666667,204.0
Musik og Sang-Efterskolen i Uge,,,,,,4.9316666667,12.0
Musikefterskolen i Humble,,,,,,7.8413461538,208.0
Møldrup Skole,3.5657274294,3.4967357706,3.8049019588,3.4967357706,3.1323665294,6.6893207547,265.0
Mølholm Skole,3.7465134266,3.8183706658,3.9719202853,3.8183706658,3.3941442391,7.7028329298,413.0
Mølkærskolen,,,,,,6.0781632653,49.0
Møllebakkeskolen,3.5825244898,3.7666091224,3.7882652959,3.7666091224,3.2120987041,6.8491875,160.0
Mølleholmskolen,3.4606063563,3.6328160348,3.6380057688,3.6328160348,3.1683959794,6.8045879733,449.0
Mølleskolen,,,,,,8.0973399015,1015.0
Møllevangskolen,3.5613307056,3.7555937664,3.9112149486,3.7555937664,3.4182795047,6.8662886598,194.0
Møn Friskole,,,,,,7.4877310924,119.0
"Møn Skole, Stege",3.4819373289,3.5149009737,3.5975877193,3.5149009737,3.1424616638,6.46,480.0
Mønsted Skole,3.5626538681,3.5414316042,3.6035879583,3.5414316042,3.2055220625,6.754619883,171.0
Mørdrupskolen,3.6270766282,3.6371634231,3.7341772152,3.6371634231,3.3157620759,7.3889814815,324.0
Mørke Skole,3.7489585683,3.4632927971,3.7481751825,3.4632927971,3.1565863066,6.831875,128.0
Mørkhøj Skole,3.3968674513,3.589401817,3.6659259156,3.589401817,3.0947403422,6.7052863436,227.0
Måløvhøj Skole,3.597899792,3.727994572,3.7639272541,3.727994572,3.107643687,7.785433526,346.0
Måløvhøj Skole - Måløv,,,,,,7.6458139535,258.0
Måløvhøj Skole - Østerhøj,,,,,,7.9379710145,276.0
Mårslet Skole,3.6882373815,3.9241508984,3.9568250317,3.9241508984,3.2459032705,8.0084519573,562.0
N. Kochs Skole,,,,,,8.1135632184,348.0
N. Zahles Gymnasieskole,,,,,,8.9700261438,765.0
N. Zahles Seminarieskole,,,,,,8.5396515679,287.0
New Nordic Youth Efterskole,,,,,,7.0976271186,59.0
Nibe Skole,3.7169018794,3.7475324511,3.8257261369,3.7475324511,3.1865091888,7.5432951945,437.0
Niels Ebbesen Skolen,3.552428547,3.6662889161,3.8126304781,3.6662889161,3.1149926172,7.8746973684,760.0
Niels Steensens Gymnasium,,,,,,8.3441749723,903.0
Nivå Skole,3.6232157085,3.8223938601,3.9416909621,3.8223938601,3.5068379012,7.5999429658,526.0
Nordagerskolen,3.5973519718,3.6355983915,3.6532485819,3.6355983915,3.2608484011,7.2597260274,438.0
Nordals skolen,3.626044337,3.6995913444,3.8787037,3.6995913444,3.4453692376,6.0695087719,285.0
"Nordals skolen, afdeling Havnbjerg",,,,,,4.7192307692,13.0
"Nordals skolen, afdeling Nordborg",,,,,,6.2024137931,29.0
Nordborg Slots Efterskole,,,,,,8.0358469945,366.0
Nordbyskolen,3.6165458351,3.6573689509,3.849122807,3.6573689509,3.1761733028,7.6816949153,354.0
Norddjurs Friskole,,,,,,7.3846153846,143.0
Nordfyns Efterskole,,,,,,6.0193273543,223.0
Nordjyllands Idrætsefterskole Stidsholt.,,,,,,6.4460730594,219.0
Nordre Skole,3.7465158773,3.7464372781,3.8348930455,3.7464372781,3.1852376747,7.8725188917,397.0
Nordre Skole Fortuna,3.7386252983,3.7567301681,3.775210084,3.7567301681,3.2089832059,7.6330749354,387.0
Nordregårdsskolen,3.5224848292,3.644325682,3.645746159,3.644325682,3.1508663138,6.5169306931,303.0
Nord-Samsø Efterskole,,,,,,4.5639534884,43.0
Nordsjællands Efterskole,,,,,,7.5590566038,212.0
Nordsjællands Friskole,,,,,,6.8682989691,194.0
Nordsjællands Grundskole og Gymnasium samt HF,,,,,,8.2199911894,1135.0
"Nordskolen, afdeling Baunehøj",3.5894446617,3.6954415833,3.8626865642,3.6954415833,3.1408371637,7.8738618926,391.0
"Nordskolen, afdeling Jyllinge",3.4921172399,3.6158241671,3.8261494224,3.6158241671,3.0036362104,7.480282392,602.0
Nordstjerneskolen,3.5627765083,3.5874786992,3.7041896823,3.5874786992,3.1533079227,6.9412206573,639.0
Nordstrandskolen,3.5985120137,3.857491112,3.9139344262,3.857491112,3.2457138603,8.0967961165,206.0
Nord-Vest Privatskole,,,,,,6.7880645161,31.0
Nordvestskolen,3.4649412237,3.6669648402,3.6621212091,3.6669648402,2.9856703836,6.4444293478,368.0
Nordøstsalling Skoler og Dagtilbud,3.641063969,3.5864719602,3.7924041283,3.5864719602,3.1873573761,7.032,70.0
NOVAskolen,3.6622522743,3.8184725148,3.7732067426,3.8184725148,3.3063958602,6.9865258216,426.0
Nr Alslev Skole,3.6197975308,3.6237170308,3.8057692308,3.6237170308,3.1475087308,6.4679704797,271.0
Nr Lyndelse Friskole,,,,,,8.0036196319,163.0
Nr Uttrup Skole,3.7468993906,3.7884295803,3.8656195393,3.7884295803,3.4352327409,7.508893617,235.0
Nr. Asmindrup Friskole,,,,,,7.566056338,71.0
"Nr. Jernløse Skole, område Skovvejen",3.5510045,3.5728657984,3.6926070039,3.5728657984,3.1961177938,6.5195781638,403.0
Nr. Vedby Skole & Børnehus,3.3928244779,3.4802581043,3.748538,3.4802581043,3.0971173772,6.6832394366,142.0
Ny Hollænderskolen,3.5817561562,3.837547901,3.8566223023,3.837547901,3.1939315581,8.0728044872,624.0
Ny Holte Skole,3.7972930174,3.8237628811,3.9793844321,3.8237628811,3.3466113217,8.6059726027,365.0
Nyager Skole,3.5094581373,3.6684459195,3.6433506036,3.6684459195,2.9634957911,7.4037284483,464.0
Nyboder Skole,3.5538699856,3.8395348125,3.8405448654,3.8395348125,3.3150407981,7.9837230769,325.0
Nyborg Friskole,,,,,,8.1618765432,405.0
Nyborg Private Realskole,,,,,,8.4446417445,321.0
Nydamskolen,3.7659449932,3.7554328635,3.8402061821,3.7554328635,3.3150319547,7.4246112601,373.0
Nykøbing F Realskole,,,,,,8.3591610738,298.0
Nykøbing Skole,3.5647119617,3.5838682269,3.7076923077,3.5838682269,3.0945206486,6.7851898734,474.0
Nymarken Skole og Børnehus,3.661981319,3.8399954143,3.9273809476,3.8399954143,3.2868363143,7.7199047619,315.0
Nymarkskolen,,,,,,7.0187992723,1649.0
Nyrupskolen,3.5951827148,3.6731684219,3.5380859336,3.6731684219,3.1372949805,7.5207100592,338.0
Nysted Efterskole,,,,,,3.7226086957,299.0
Nysted Skole,3.5705187988,3.6839785854,3.881390589,3.6839785854,3.2893948834,6.6230103806,289.0
Nyvangsskolen,,,,,,5.3732,50.0
Nærum Privatskole,,,,,,8.269,60.0
Nærum Skole,3.694992,3.7972179617,3.792378906,3.7972179617,3.2545783547,7.9846206897,290.0
Næsbjerg afdeling,3.7832725556,3.6358525043,3.9358974359,3.6358525043,3.3039067949,7.4812077295,207.0
Næsby Skole,3.559152223,3.7803605252,3.9160714286,3.7803605252,3.2571081655,7.0036749117,283.0
Næsgaard Efterskole,,,,,,6.2654487179,156.0
Næshøjskolen,3.5610438542,3.7490799048,3.9307909593,3.7490799048,3.2578227381,7.4228710462,411.0
Næstved Fri Skole,,,,,,7.568255814,86.0
Nørbæk Efterskole,,,,,,4.88,140.0
Nørre Boulevard Skolen,3.6445387665,3.7485478207,3.8785761796,3.7485478207,3.2885643526,7.379057187,647.0
Nørre Fælled Skole,3.6753593318,3.8854612804,3.8577519349,3.8854612804,3.366688472,7.290390625,256.0
Nørre Nissum Efterskole,,,,,,7.0570600858,466.0
Nørre Nissum Skole- og Børneunivers,3.9764862331,3.8497126917,4.0488721805,3.8497126917,3.7417109699,7.702,155.0
Nørre Aaby Efterskole,,,,,,7.0844623656,186.0
Nørre Aaby Realskole,,,,,,8.2588857143,350.0
Nørre Aaby Skole,3.5988871125,3.5288586624,3.6733193151,3.5288586624,3.0829827941,6.9116037736,318.0
Nørrebro Lilleskole,,,,,,7.5294949495,99.0
Nørrebro Park Skole,3.7142872723,3.835882599,3.8698175771,3.835882599,3.237309105,6.6597674419,387.0
Nørreskov-Skolen,3.5670983056,3.6074197056,3.7426335138,3.6074197056,3.1898540778,6.3766891892,296.0
Nørre-Snede Skole,3.5484063487,3.4135017434,3.5430283203,3.4135017434,3.0406950987,6.9933974359,156.0
