Institution,Generel trivsel,Faglig trivsel,Ro og orden,Social trivsel,Støtte og inspiration,Karaktergennemsnit 2013-2020,Antal karakterer 2013-2020
Skolerne i Oure - Sport & Performance,,,,,,7.4763461538,1092.0
Skorpeskolen,,,,,,8.7494972067,179.0
Skottegårdsskolen,3.5115417617,3.6331603447,3.6377118602,3.6331603447,3.1674531568,6.9193939394,297.0
Skovbo Efterskole,,,,,,6.9574367089,316.0
Skovboskolen,3.6304890901,3.6823843394,3.6974474459,3.6823843394,3.1811879324,7.0797179487,390.0
Skovbrynet skole,3.5365951152,3.6132556303,3.6535353455,3.6132556303,3.2376157195,6.8884293194,191.0
Skovby Friskole,,,,,,7.3754166667,48.0
Skovbyskolen,3.7572862864,3.7267825935,3.8292917621,3.7267825935,3.3904317852,7.3137931034,377.0
Skovgårdsskolen,3.7314221964,3.9573907084,3.9601449233,3.9573907084,3.2875542628,8.7840079365,504.0
Skovlund Efterskole,,,,,,7.2973239437,213.0
Skovlund Friskole,,,,,,6.0540625,32.0
Skovlunde Skole,3.499279089,3.6158618518,3.7934959301,3.6158618518,3.2560816634,7.4694035088,285.0
Skovlunde Skole - Nord,,,,,,7.3518309859,142.0
Skovlunde Skole - Syd,,,,,,7.3528715365,397.0
Skovlyskolen,3.5637967722,3.6908100178,3.7839285679,3.6908100178,3.125866925,8.7570588235,289.0
Skovsgård Tranum skole,3.5157683216,3.5514681579,3.6954190994,3.5514681579,3.1540751941,7.0508547009,234.0
Skovshoved Skole,3.8117083087,3.957219641,3.9370310804,3.957219641,3.3560093859,8.0866974596,433.0
Skovvangskolen,,,,,,7.4292763819,995.0
Skovvejens Skole,3.4994447259,3.6255265204,3.6881570761,3.6255265204,3.084758834,7.7247163121,282.0
Skovvejens Skole - Vest,,,,,,6.281147541,61.0
Skovvejens Skole - Øst,,,,,,7.776201373,437.0
Skrødstrup Efterskole,,,,,,5.6386413043,184.0
Skt Klemensskolen,3.6469718688,3.585086045,3.8566065946,3.585086045,3.1359060493,7.6324793388,242.0
Skt Knuds Skole,,,,,,7.5360990099,505.0
Skt. Josefs Skole,,,,,,8.5436296296,810.0
Skt. Knud Lavard Skole,,,,,,8.7810344828,145.0
Skt. Pauls Skole,,,,,,7.8375925926,162.0
Skægkærskolen,3.6257405511,3.5650831023,3.7594696932,3.5650831023,3.1451835795,7.1914285714,252.0
Skælskør Skole,3.4929400221,3.5909383259,3.7604550996,3.5909383259,3.1735701413,6.7412244898,245.0
Skærbæk Distriktsskole,3.5110486491,3.6597930737,3.7447368421,3.6597930737,3.257660393,6.1538582677,254.0
Skærbæk Realskole,,,,,,6.8549700599,167.0
Skæring Skole,3.703057412,3.834055377,3.9486607098,3.834055377,3.2896947059,7.9605584642,573.0
Skødstrup Skole,3.5304408961,3.7758752893,3.7460205955,3.7758752893,3.1251467247,7.9492442882,569.0
Skørbæk-Ejdrup Friskole,,,,,,7.6464102564,117.0
Skørping Skole,3.6875985254,3.7663243518,3.8045084967,3.7663243518,3.1355874381,7.8834942085,518.0
Skåde Skole,3.7076330518,3.9371858689,3.924012155,3.9371858689,3.2810315866,8.2833483146,445.0
Skårup Skole,3.4961384928,3.6155673671,3.6409017681,3.6155673671,3.1063947971,7.2458415842,303.0
Slagelse Privatskole,,,,,,5.5295833333,24.0
Slangerup Skole,3.6464086438,3.6815459937,3.7285564812,3.6815459937,3.1381695586,6.9527610209,431.0
Sletten Skole,3.6726033628,3.6730587914,3.8788782768,3.6730587914,3.29921542,6.7988445378,476.0
Slotsparkens Friskole,,,,,,7.6308641975,81.0
Smidstrup-Skærup Skole,3.6766839091,3.6986982995,3.8235294118,3.6986982995,3.2072060802,6.9575130305,158.0
Snedsted Skole,3.7548751179,3.7685862714,3.925,3.7685862714,3.251487675,6.9264233577,411.0
Snejbjerg Skole,3.8715450283,3.7583694251,3.8988575242,3.7583694251,3.219085753,6.9374924471,331.0
Sofiehøj Friskole,,,,,,7.6577380952,84.0
"Sofielundskolen, afdeling Bjergmarken",,,,,,7.1419259259,270.0
Sofiendalskolen,3.4246076528,3.6335192535,3.7943361142,3.6335192535,3.190973195,6.7819450801,437.0
Solbakkeskolen,,,,,,6.3302380952,84.0
Solbjergskolen,3.5619034801,3.7390176633,3.7023809502,3.7390176633,3.0376360631,7.5744927536,345.0
Solhverv Privatskole,,,,,,7.2275968992,258.0
Solsideskolen,,,,,,8.2384393064,173.0
Solvangskolen,3.8678206557,3.8337172861,4.070253162,3.8337172861,3.3444399975,8.1260770975,441.0
Sophienborgskolen,3.8830009597,3.8439199879,3.7731854798,3.8439199879,3.1698536492,8.3658461538,325.0
Sophieskolen,3.6151572433,3.6206994703,3.7725647748,3.6206994703,3.2638640054,6.4565144231,416.0
Sortebakkeskolen,3.795173504,3.7882171786,3.8945105794,3.7882171786,3.2834935198,7.0559090909,308.0
Sortedamskolen,3.5304480826,3.7564467576,3.7936179945,3.7564467576,3.1038735663,7.7054507338,477.0
Sorø Borgerskole,3.5992417024,3.6002221116,3.7549603095,3.6002221116,3.2644742817,7.2791560102,391.0
Sorø Gymnastikefterskole,,,,,,6.1299481865,193.0
Sorø Privatskole,,,,,,8.7005679862,581.0
Spangsbjergskolen Cosmos,3.7695323574,3.8067647833,4.0244910916,3.8067647833,3.5337041027,7.2337711864,236.0
Spjald Skole,3.8585004813,3.695125972,3.8843457944,3.695125972,3.3288825047,7.3121126761,142.0
Spjellerup Friskole,,,,,,6.7670769231,65.0
Sportsefterskolen SINE,,,,,,7.2712087912,364.0
Sportsefterskolen Sjælsølund,,,,,,7.3186585366,164.0
St. Magleby Skole,3.6650551368,3.8286448304,3.8194098055,3.8286448304,3.148606735,7.7398,400.0
Staby Efterskole,,,,,,7.2828301887,530.0
Stavnsholtskolen,3.5952388895,3.7330860438,3.8211225296,3.7330860438,3.2317579302,7.1148322148,447.0
Steiner Skolen i Vejle,,,,,,6.9417708333,96.0
Stengård Skole,3.5849543127,3.7892066757,3.9050836525,3.7892066757,3.1522610502,8.3087589499,419.0
Stengårdsskolen,3.3966795399,3.526803184,3.431402439,3.526803184,3.0212236564,6.8970695971,273.0
Stenhus Kostskole,,,,,,7.9173106061,792.0
Stenlille Skole,3.5683735098,3.4830228549,3.8047900236,3.4830228549,3.1028940745,6.7653741497,294.0
Stenløse Privatskole,,,,,,8.3359382423,421.0
Stenoskolen,,,,,,7.3156880734,109.0
Stensballeskolen,3.7792607823,3.7970690443,3.8527060221,3.7970690443,3.198765037,7.8994813278,482.0
Stepping Friskole,,,,,,7.1902631579,76.0
Stevns Friskole,,,,,,7.9836,100.0
Stige Friskole,,,,,,7.4981290323,155.0
Stilling Skole,3.5739987193,3.6823478369,3.7473190295,3.6823478369,3.2723370215,7.7166741071,448.0
Stillinge Skole,3.5812663697,3.6409193905,3.7176145308,3.6409193905,3.179315763,7.14703125,256.0
Stjernevejskolen,3.5954640823,3.7974651303,3.9227386884,3.7974651303,3.3049708894,7.6991546392,485.0
Stjærskolen,3.6036658142,3.7083532895,3.7853982301,3.7083532895,3.0960313333,7.9635036496,137.0
